id,times,textString,startTime,endTime,fromSeconds,toSeconds,timeLength
1,"00:00:06,835 --> 00:00:08,324",Arren!,"00:00:06,835","00:00:08,324",6.835,8.324,1.4889999999999999
2,"00:00:08,344 --> 00:00:09,833",I can't find Therru.,"00:00:08,344","00:00:09,833",8.344,9.833,1.4890000000000008
3,"00:00:09,853 --> 00:00:11,342",Check the back pasture for me.,"00:00:09,853","00:00:11,342",9.853,11.342,1.4890000000000008
4,"00:00:11,529 --> 00:00:14,430",Tell her to come inside before dark.,"00:00:11,529","00:00:14,430",11.529,14.43,2.901
5,"00:00:15,033 --> 00:00:15,867",I will.,"00:00:15,033","00:00:15,867",15.033,15.867,0.8340000000000014
6,"00:00:33,885 --> 00:00:34,874",Therru?,"00:00:33,885","00:00:34,874",33.885,34.874,0.9890000000000043
7,"00:00:40,291 --> 00:00:40,985",Therru...,"00:00:40,291","00:00:40,985",40.291,40.985,0.6940000000000026
8,"00:00:41,226 --> 00:03:28,758","Far, far above the clouds against the setting sun A falcon flies alone soaring in the wind I hear his lonely cry so sad must he be Riding the silent wind a falcon flies alone Reaching out with his wings grasps the empty sky Riding the silent wind never can he rest What it is within my heart none can ever know A heart like a falcon's is this very heart What it is within my heart none can ever know Lonely falcon in the empty sky I walk alone along deserted country roads Walking with me side by side you are always there I feel your loneliness lonely you must be Crickets whispering in the grassy fields You walk there by my side you walk the path with me But you never say a word never do you speak What it is within my heart none can ever know Here inside this heart that walks its path alone What it is within my heart none can ever know The sadness of one who always is alone I killed my father.","00:00:41,226","00:03:28,758",41.226,208.758,167.532
9,"00:03:30,361 --> 00:03:33,057",I stabbed him and ran away.,"00:03:30,361","00:03:33,057",210.361,213.057,2.695999999999998
10,"00:03:33,274 --> 00:03:35,119",I don't understand it.,"00:03:33,274","00:03:35,119",213.274,215.119,1.8449999999999989
11,"00:03:35,139 --> 00:03:36,984",Why did I kill him?,"00:03:35,139","00:03:36,984",215.139,216.984,1.8449999999999989
12,"00:03:37,702 --> 00:03:39,602",Did he hurt you?,"00:03:37,702","00:03:39,602",217.702,219.602,1.9000000000000057
13,"00:03:40,581 --> 00:03:41,892",No.,"00:03:40,581","00:03:41,892",220.581,221.892,1.311000000000007
14,"00:03:41,912 --> 00:03:43,223",My father was a great man.,"00:03:41,912","00:03:43,223",221.912,223.223,1.311000000000007
15,"00:03:43,851 --> 00:03:46,232",I am nothing.,"00:03:43,851","00:03:46,232",223.851,226.232,2.3810000000000002
16,"00:03:46,252 --> 00:03:48,633",I failed my father and I fail myself.,"00:03:46,252","00:03:48,633",226.252,228.633,2.3810000000000002
17,"00:03:49,280 --> 00:03:54,411","And yet, I'm filled with a rage I can't control.","00:03:49,280","00:03:54,411",229.28,234.411,5.131
18,"00:03:55,753 --> 00:03:59,553",It's as if there were someone else inside me.,"00:03:55,753","00:03:59,553",235.753,239.553,3.8000000000000114
19,"00:03:59,657 --> 00:04:01,682","You saw it too, didn't you?","00:03:59,657","00:04:01,682",239.657,241.682,2.0249999999999773
20,"00:04:02,503 --> 00:04:04,166",You were right.,"00:04:02,503","00:04:04,166",242.503,244.166,1.663000000000011
21,"00:04:04,186 --> 00:04:05,849",I shouldn't be here.,"00:04:04,186","00:04:05,849",244.186,245.849,1.6629999999999825
22,"00:04:06,240 --> 00:04:06,999",I'm sorry.,"00:04:06,240","00:04:06,999",246.24,246.999,0.7589999999999861
23,"00:04:07,019 --> 00:04:07,778",I didn't mean...,"00:04:07,019","00:04:07,778",247.019,247.778,0.7589999999999861
24,"00:04:07,899 --> 00:04:09,867","No, you were right.","00:04:07,899","00:04:09,867",247.899,249.867,1.9679999999999893
25,"00:04:11,502 --> 00:04:15,097","If I don't leave, it will come again.","00:04:11,502","00:04:15,097",251.502,255.097,3.594999999999999
26,"00:04:27,718 --> 00:04:28,650",A woman?,"00:04:27,718","00:04:28,650",267.718,268.65,0.9319999999999595
27,"00:04:28,753 --> 00:04:31,415",She lives past the marshes.,"00:04:28,753","00:04:31,415",268.753,271.415,2.6620000000000346
28,"00:04:32,723 --> 00:04:35,419",And the Archmage is with her?,"00:04:32,723","00:04:35,419",272.723,275.419,2.6959999999999695
29,"00:04:35,903 --> 00:04:38,147",He was seen in the town.,"00:04:35,903","00:04:38,147",275.903,278.147,2.2439999999999714
30,"00:04:38,167 --> 00:04:40,411",There are many witnesses.,"00:04:38,167","00:04:40,411",278.167,280.411,2.244000000000028
31,"00:04:41,065 --> 00:04:42,555",Splendid.,"00:04:41,065","00:04:42,555",281.065,282.555,1.490000000000009
32,"00:04:49,974 --> 00:04:51,168",My lord.,"00:04:49,974","00:04:51,168",289.974,291.168,1.1940000000000168
33,"00:04:53,478 --> 00:04:55,139","Let's go, men!","00:04:53,478","00:04:55,139",293.478,295.139,1.6610000000000014
34,"00:05:16,010 --> 00:05:17,719",A greeting from the Archmage.,"00:05:16,010","00:05:17,719",316.01,317.719,1.7090000000000032
35,"00:05:17,739 --> 00:05:19,448","Thank you, Sparrowhawk.","00:05:17,739","00:05:19,448",317.739,319.448,1.7090000000000032
36,"00:05:34,595 --> 00:05:35,572",Therru!,"00:05:34,595","00:05:35,572",334.595,335.572,0.9769999999999754
37,"00:05:35,592 --> 00:05:36,569",Arren!,"00:05:35,592","00:05:36,569",335.592,336.569,0.9770000000000323
38,"00:05:36,589 --> 00:05:37,566",Dinner is ready!,"00:05:36,589","00:05:37,566",336.589,337.566,0.9769999999999754
39,"00:05:38,356 --> 00:05:39,653",Where's Arren?,"00:05:38,356","00:05:39,653",338.356,339.653,1.2970000000000255
40,"00:05:41,025 --> 00:05:42,515",Isn't he with you?,"00:05:41,025","00:05:42,515",341.025,342.515,1.490000000000009
41,"00:05:42,627 --> 00:05:43,594",No.,"00:05:42,627","00:05:43,594",342.627,343.594,0.9669999999999845
42,"00:05:44,205 --> 00:05:46,181",Maybe he's resting.,"00:05:44,205","00:05:46,181",344.205,346.181,1.975999999999999
43,"00:05:46,201 --> 00:05:48,177","Therru, go see if he's there.","00:05:46,201","00:05:48,177",346.201,348.177,1.975999999999999
44,"00:05:48,299 --> 00:05:49,459","Yes, Tenar.","00:05:48,299","00:05:49,459",348.299,349.459,1.160000000000025
45,"00:05:52,970 --> 00:05:54,198",He's not here.,"00:05:52,970","00:05:54,198",352.97,354.198,1.2279999999999518
46,"00:05:54,982 --> 00:05:56,446",That's strange.,"00:05:54,982","00:05:56,446",354.982,356.446,1.4639999999999986
47,"00:05:56,466 --> 00:05:57,930",Where's he gone?,"00:05:56,466","00:05:57,930",356.466,357.93,1.4639999999999986
48,"00:05:58,609 --> 00:06:00,201",I'll look outside.,"00:05:58,609","00:06:00,201",358.609,360.201,1.5920000000000414
49,"00:06:17,495 --> 00:06:18,860",Arren...,"00:06:17,495","00:06:18,860",377.495,378.86,1.365000000000009
50,"00:06:33,477 --> 00:06:36,344","Tenar, Therru... take care.","00:06:33,477","00:06:36,344",393.477,396.344,2.8670000000000186
51,"00:07:01,939 --> 00:07:04,430",Doesn't matter which way I go.,"00:07:01,939","00:07:04,430",421.939,424.43,2.4909999999999854
52,"00:07:16,254 --> 00:07:17,619",Looks like a dead end.,"00:07:16,254","00:07:17,619",436.254,437.619,1.365000000000009
53,"00:07:38,242 --> 00:07:39,470",It's here!,"00:07:38,242","00:07:39,470",458.242,459.47,1.2280000000000086
54,"00:08:55,019 --> 00:08:56,816",I wonder if that's Arren?,"00:08:55,019","00:08:56,816",535.019,536.816,1.7970000000000255
55,"00:08:59,357 --> 00:09:00,585",Arren?,"00:08:59,357","00:09:00,585",539.357,540.585,1.2280000000000655
56,"00:09:01,459 --> 00:09:02,858",Sparrowhawk?,"00:09:01,459","00:09:02,858",541.459,542.858,1.399000000000001
57,"00:09:10,468 --> 00:09:12,129",That's odd.,"00:09:10,468","00:09:12,129",550.468,552.129,1.6610000000000582
58,"00:09:12,837 --> 00:09:14,395",What are you doing?,"00:09:12,837","00:09:14,395",552.837,554.395,1.5579999999999927
59,"00:09:16,083 --> 00:09:16,842",It's you!,"00:09:16,083","00:09:16,842",556.083,556.842,0.7590000000000146
60,"00:09:16,862 --> 00:09:17,621",You're back!,"00:09:16,862","00:09:17,621",556.862,557.621,0.7590000000000146
61,"00:09:18,342 --> 00:09:22,779","So sorry, but it seems you'll do in place of the wizard.","00:09:18,342","00:09:22,779",558.342,562.779,4.437000000000012
62,"00:09:22,880 --> 00:09:23,574",What?,"00:09:22,880","00:09:23,574",562.88,563.574,0.69399999999996
63,"00:09:23,681 --> 00:09:25,114","Tenar, what's wrong?","00:09:23,681","00:09:25,114",563.681,565.114,1.4329999999999927
64,"00:09:25,216 --> 00:09:26,080",Run away!,"00:09:25,216","00:09:26,080",565.216,566.08,0.8640000000000327
65,"00:09:26,183 --> 00:09:27,775",What a surprise!,"00:09:26,183","00:09:27,775",566.183,567.775,1.5919999999999845
66,"00:09:27,885 --> 00:09:31,252","Fancy meeting you here, princess.","00:09:27,885","00:09:31,252",567.885,571.252,3.366999999999962
67,"00:09:33,701 --> 00:09:34,727",No!,"00:09:33,701","00:09:34,727",573.701,574.727,1.0259999999999536
68,"00:09:34,747 --> 00:09:35,773",Leave her alone!,"00:09:34,747","00:09:35,773",574.747,575.773,1.0260000000000673
69,"00:09:43,234 --> 00:09:44,701",Therru!,"00:09:43,234","00:09:44,701",583.234,584.701,1.4669999999999845
70,"00:09:46,670 --> 00:09:49,696","Well now princess, where's your prince?","00:09:46,670","00:09:49,696",586.67,589.696,3.0260000000000673
71,"00:09:50,017 --> 00:09:50,793",Hey!,"00:09:50,017","00:09:50,793",590.017,590.793,0.7759999999999536
72,"00:09:50,813 --> 00:09:51,589",Watch those teeth!,"00:09:50,813","00:09:51,589",590.813,591.589,0.7760000000000673
73,"00:09:52,052 --> 00:09:54,313",I need you to deliver a message.,"00:09:52,052","00:09:54,313",592.052,594.313,2.2609999999999673
74,"00:09:54,333 --> 00:09:56,594",Tell this to the wizard!,"00:09:54,333","00:09:56,594",594.333,596.594,2.261000000000081
75,"00:09:57,248 --> 00:09:59,375",If he wants his woman...,"00:09:57,248","00:09:59,375",597.248,599.375,2.1269999999999527
76,"00:09:59,483 --> 00:10:03,510",...he can find her at Lord Cob's castle.,"00:09:59,483","00:10:03,510",599.483,603.51,4.027000000000044
77,"00:10:04,555 --> 00:10:05,522",Take her away!,"00:10:04,555","00:10:05,522",604.555,605.522,0.9670000000000982
78,"00:10:05,623 --> 00:10:06,487",Therru!,"00:10:05,623","00:10:06,487",605.623,606.487,0.863999999999919
79,"00:10:06,590 --> 00:10:08,353",Tenar!,"00:10:06,590","00:10:08,353",606.59,608.353,1.76299999999992
80,"00:10:09,303 --> 00:10:11,263","Let me go, I tell you!","00:10:09,303","00:10:11,263",609.303,611.263,1.9600000000000364
81,"00:10:11,283 --> 00:10:13,243",Let me go!,"00:10:11,283","00:10:13,243",611.283,613.243,1.9600000000000364
82,"00:10:17,878 --> 00:10:18,734",Therru!,"00:10:17,878","00:10:18,734",617.878,618.734,0.8559999999999945
83,"00:10:18,754 --> 00:10:19,610",Are you all right?,"00:10:18,754","00:10:19,610",618.754,619.61,0.8559999999999945
84,"00:10:19,630 --> 00:10:20,486",Therru!,"00:10:19,630","00:10:20,486",619.63,620.486,0.8559999999999945
85,"00:10:20,748 --> 00:10:21,774",Stop it!,"00:10:20,748","00:10:21,774",620.748,621.774,1.0259999999999536
86,"00:10:21,794 --> 00:10:22,820",Let her go!,"00:10:21,794","00:10:22,820",621.794,622.82,1.0260000000000673
87,"00:10:22,940 --> 00:10:27,934",You stay here and be good till the wizard gets back!,"00:10:22,940","00:10:27,934",622.94,627.934,4.9939999999999145
88,"00:10:29,657 --> 00:10:30,803",Lord Cob's waiting.,"00:10:29,657","00:10:30,803",629.657,630.803,1.1459999999999582
89,"00:10:30,823 --> 00:10:31,969",Let's get moving!,"00:10:30,823","00:10:31,969",630.823,631.969,1.1460000000000719
90,"00:10:36,120 --> 00:10:37,712",Tenar!,"00:10:36,120","00:10:37,712",636.12,637.712,1.5919999999999845
91,"00:10:39,590 --> 00:10:41,387",Tenar!,"00:10:39,590","00:10:41,387",639.59,641.387,1.7969999999999118
92,"00:11:12,766 --> 00:11:14,629",I'm sorry.,"00:11:12,766","00:11:14,629",672.766,674.629,1.8630000000000564
93,"00:11:14,649 --> 00:11:16,512",I'm afraid he's coming with me.,"00:11:14,649","00:11:16,512",674.649,676.512,1.8629999999999427
94,"00:11:21,932 --> 00:11:22,762",Go!,"00:11:21,932","00:11:22,762",681.932,682.762,0.8299999999999272
95,"00:11:49,793 --> 00:11:51,021",Where am I?,"00:11:49,793","00:11:51,021",709.793,711.021,1.2279999999999518
96,"00:11:52,339 --> 00:11:54,617",You're safe now.,"00:11:52,339","00:11:54,617",712.339,714.617,2.2779999999999063
97,"00:11:54,637 --> 00:11:56,915",The Shadow can't follow you here.,"00:11:54,637","00:11:56,915",714.637,716.915,2.27800000000002
98,"00:11:57,368 --> 00:11:59,233",You saw it?,"00:11:57,368","00:11:59,233",717.368,719.233,1.8649999999998954
99,"00:11:59,970 --> 00:12:02,939",I know a bit of Magic myself.,"00:11:59,970","00:12:02,939",719.97,722.939,2.9689999999999372
100,"00:12:03,641 --> 00:12:06,235",I know what you're running from.,"00:12:03,641","00:12:06,235",723.641,726.235,2.594000000000051
101,"00:12:06,877 --> 00:12:10,404",You were wise to flee from that man.,"00:12:06,877","00:12:10,404",726.877,730.404,3.5270000000000437
102,"00:12:10,948 --> 00:12:12,438",What man?,"00:12:10,948","00:12:12,438",730.948,732.438,1.490000000000009
103,"00:12:12,560 --> 00:12:14,474",Sparrowhawk.,"00:12:12,560","00:12:14,474",732.56,734.474,1.914000000000101
104,"00:12:14,494 --> 00:12:16,408","That is, the Archmage.","00:12:14,494","00:12:16,408",734.494,736.408,1.9139999999999873
105,"00:12:17,498 --> 00:12:19,395","Here, drink this.","00:12:17,498","00:12:19,395",737.498,739.395,1.8969999999999345
106,"00:12:19,415 --> 00:12:21,312",It will soothe you.,"00:12:19,415","00:12:21,312",739.415,741.312,1.8970000000000482
107,"00:12:25,739 --> 00:12:27,465",What's wrong?,"00:12:25,739","00:12:27,465",745.739,747.465,1.725999999999999
108,"00:12:27,485 --> 00:12:29,211",It's not poisoned.,"00:12:27,485","00:12:29,211",747.485,749.211,1.725999999999999
109,"00:12:43,847 --> 00:12:47,715",Now lie still and rest here for a bit.,"00:12:43,847","00:12:47,715",763.847,767.715,3.868000000000052
110,"00:12:48,018 --> 00:12:52,318",The Archmage is more dangerous than you can imagine.,"00:12:48,018","00:12:52,318",768.018,772.318,4.2999999999999545
111,"00:12:52,967 --> 00:12:54,415",No...,"00:12:52,967","00:12:54,415",772.967,774.415,1.447999999999979
112,"00:12:54,435 --> 00:12:55,883",Sparrowhawk is a good man.,"00:12:54,435","00:12:55,883",774.435,775.883,1.4480000000000928
113,"00:12:55,993 --> 00:12:58,325",He protected me.,"00:12:55,993","00:12:58,325",775.993,778.325,2.3319999999999936
114,"00:12:58,973 --> 00:13:01,319",Then tell me.,"00:12:58,973","00:13:01,319",778.973,781.319,2.3460000000000036
115,"00:13:01,339 --> 00:13:03,685",Did you ever wonder what he seeks?,"00:13:01,339","00:13:03,685",781.339,783.685,2.34599999999989
116,"00:13:06,570 --> 00:13:07,696",No.,"00:13:06,570","00:13:07,696",786.57,787.696,1.1259999999999764
117,"00:13:09,640 --> 00:13:12,336",He seeks eternal life.,"00:13:09,640","00:13:12,336",789.64,792.336,2.6960000000000264
118,"00:13:13,344 --> 00:13:15,835",Eternal life?,"00:13:13,344","00:13:15,835",793.344,795.835,2.4909999999999854
119,"00:13:17,314 --> 00:13:21,273",The Archmage stands at the pinnacle of sorcery.,"00:13:17,314","00:13:21,273",797.314,801.273,3.95900000000006
120,"00:13:21,585 --> 00:13:26,648",Only the secret of eternal life lies beyond his grasp.,"00:13:21,585","00:13:26,648",801.585,806.648,5.062999999999988
121,"00:13:27,591 --> 00:13:29,991","And yet, he covets it.","00:13:27,591","00:13:29,991",807.591,809.991,2.3999999999999773
122,"00:13:30,828 --> 00:13:34,924","But as he covets, so does he fear another will discover it first.","00:13:30,828","00:13:34,924",810.828,814.924,4.096000000000004
123,"00:13:35,132 --> 00:13:40,570",That would be unbearable to one so proud as the Archmage.,"00:13:35,132","00:13:40,570",815.132,820.57,5.438000000000102
124,"00:13:40,771 --> 00:13:43,740",What does that have to do with me?,"00:13:40,771","00:13:43,740",820.771,823.74,2.969000000000051
125,"00:13:44,808 --> 00:13:48,335",Because it is you who have been chosen...,"00:13:44,808","00:13:48,335",824.808,828.335,3.5270000000000437
126,"00:13:48,445 --> 00:13:51,005",...to gain the secret of eternal life.,"00:13:48,445","00:13:51,005",828.445,831.005,2.5599999999999454
127,"00:13:52,059 --> 00:13:54,320",That's why Sparrowhawk follows you.,"00:13:52,059","00:13:54,320",832.059,834.32,2.261000000000081
128,"00:13:54,340 --> 00:13:56,601",To kill you.,"00:13:54,340","00:13:56,601",834.34,836.601,2.2609999999999673
129,"00:13:56,720 --> 00:13:58,779",To bring me death...,"00:13:56,720","00:13:58,779",836.72,838.779,2.058999999999969
130,"00:13:59,456 --> 00:14:02,516","Arren, will you come with me?","00:13:59,456","00:14:02,516",839.456,842.516,3.0599999999999454
131,"00:14:02,626 --> 00:14:04,685",I've already found it.,"00:14:02,626","00:14:04,685",842.626,844.685,2.058999999999969
132,"00:14:04,795 --> 00:14:08,424",I found the door between life and death.,"00:14:04,795","00:14:08,424",844.795,848.424,3.629000000000019
133,"00:14:08,899 --> 00:14:12,164",Together we can open that door.,"00:14:08,899","00:14:12,164",848.899,852.164,3.2649999999999864
134,"00:14:12,436 --> 00:14:14,870","And together, we will live forever.","00:14:12,436","00:14:14,870",852.436,854.87,2.433999999999969
135,"00:14:14,972 --> 00:14:18,533",We will conquer every form of fear and suffering.,"00:14:14,972","00:14:18,533",854.972,858.533,3.5610000000000355
136,"00:14:18,776 --> 00:14:21,176",Fear and suffering...,"00:14:18,776","00:14:21,176",858.776,861.176,2.400000000000091
137,"00:14:22,823 --> 00:14:24,737","Come with me, Arren.","00:14:22,823","00:14:24,737",862.823,864.737,1.9139999999999873
138,"00:14:24,757 --> 00:14:26,671",The face of death is terrible!,"00:14:24,757","00:14:26,671",864.757,866.671,1.914000000000101
139,"00:14:28,986 --> 00:14:33,184",I don't want to die.,"00:14:28,986","00:14:33,184",868.986,873.184,4.197999999999979
140,"00:14:33,567 --> 00:14:35,527","Listen to me, Arren.","00:14:33,567","00:14:35,527",873.567,875.527,1.9600000000000364
141,"00:14:35,547 --> 00:14:37,507",Tell me your True Name.,"00:14:35,547","00:14:37,507",875.547,877.507,1.9599999999999227
142,"00:14:37,628 --> 00:14:41,189",Then you will have that which you most desire.,"00:14:37,628","00:14:41,189",877.628,881.189,3.560999999999922
143,"00:14:44,601 --> 00:14:48,230","Come, give me your True Name.","00:14:44,601","00:14:48,230",884.601,888.23,3.629000000000019
144,"00:14:50,107 --> 00:14:54,203",Lebannen...,"00:14:50,107","00:14:54,203",890.107,894.203,4.096000000000004
145,"00:15:00,117 --> 00:15:04,281","Now I'm ready for you, Sparrowhawk.","00:15:00,117","00:15:04,281",900.117,904.281,4.163999999999987
146,"00:15:13,297 --> 00:15:15,925","Where are you, Hawk?","00:15:13,297","00:15:15,925",913.297,915.925,2.627999999999929
147,"00:15:51,368 --> 00:15:52,801",Hawk!,"00:15:51,368","00:15:52,801",951.368,952.801,1.4329999999999927
148,"00:15:56,673 --> 00:15:58,038","What's wrong, Therru?","00:15:56,673","00:15:58,038",956.673,958.038,1.365000000000009
149,"00:15:59,443 --> 00:16:01,843",They came and took Tenar away!,"00:15:59,443","00:16:01,843",959.443,961.843,2.3999999999999773
150,"00:16:02,146 --> 00:16:04,808",You have to go to Cob's castle!,"00:16:02,146","00:16:04,808",962.146,964.808,2.6620000000000346
151,"00:16:04,915 --> 00:16:06,109",Where is Arren?,"00:16:04,915","00:16:06,109",964.915,966.109,1.1940000000000737
152,"00:16:06,660 --> 00:16:08,870",He left!,"00:16:06,660","00:16:08,870",966.66,968.87,2.2100000000000364
153,"00:16:08,890 --> 00:16:11,100",He said it would come again if he didn't go!,"00:16:08,890","00:16:11,100",968.89,971.1,2.2100000000000364
154,"00:16:12,156 --> 00:16:13,623",Cob...,"00:16:12,156","00:16:13,623",972.156,973.623,1.4670000000000982
155,"00:16:14,258 --> 00:16:16,123","Don't worry, Therru.","00:16:14,258","00:16:16,123",974.258,976.123,1.865000000000009
156,"00:16:17,571 --> 00:16:19,581",I'm going to help Tenar.,"00:16:17,571","00:16:19,581",977.571,979.581,2.009999999999991
157,"00:16:19,601 --> 00:16:21,611",Wait for my return.,"00:16:19,601","00:16:21,611",979.601,981.611,2.009999999999991
158,"00:16:22,476 --> 00:16:24,538",Keep this sword.,"00:16:22,476","00:16:24,538",982.476,984.538,2.062000000000012
159,"00:16:24,558 --> 00:16:26,620",Arren will need it.,"00:16:24,558","00:16:26,620",984.558,986.62,2.062000000000012
160,"00:16:33,877 --> 00:16:36,311","Stay home, Therru!","00:16:33,877","00:16:36,311",993.877,996.311,2.4340000000000828
161,"00:16:50,627 --> 00:16:52,151",Here-we-are!,"00:16:50,627","00:16:52,151",1010.627,1012.151,1.524000000000001
162,"00:16:56,733 --> 00:16:57,700",Come on!,"00:16:56,733","00:16:57,700",1016.733,1017.7,0.9670000000000982
163,"00:16:58,769 --> 00:17:00,396",I'm not going anywhere!,"00:16:58,769","00:17:00,396",1018.769,1020.396,1.6269999999999527
164,"00:17:04,174 --> 00:17:05,766",Lord Cob.,"00:17:04,174","00:17:05,766",1024.174,1025.766,1.5920000000000982
165,"00:17:06,386 --> 00:17:08,231",We brought the woman.,"00:17:06,386","00:17:08,231",1026.386,1028.231,1.8450000000000273
166,"00:17:08,251 --> 00:17:10,096",Just as you ordered.,"00:17:08,251","00:17:10,096",1028.251,1030.096,1.8450000000000273
167,"00:17:10,981 --> 00:17:14,041","You've done well, Hare.","00:17:10,981","00:17:14,041",1030.981,1034.041,3.0599999999999454
168,"00:17:14,394 --> 00:17:16,940","It was nothing, my lord.","00:17:14,394","00:17:16,940",1034.394,1036.94,2.546000000000049
169,"00:17:16,960 --> 00:17:19,506",My pleasure is to serve you.,"00:17:16,960","00:17:19,506",1036.96,1039.506,2.546000000000049
